PROCEDIMENTO,"RN (alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
INTRODUCAO DE PROTESE NO ESOFAGO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
JEJUNOSTOMIA ENDOSCOPICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LAPAROSCOPIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA COM RETIRADA DE CORPO ESTRANHO DE LARINGE/FARINGE (TUBO FLEXIVEL),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA/TRAQUEOSCOPIA COM DILATACAO DE ESTENOSE,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA/TRAQUEOSCOPIA COM LASER PARA EXERESE DE PAPILOMA/TUMOR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA/TRAQUEOSCOPIA COM OU SEM MICROSCOPIA PARA RETIRADA DE POLIPO/NODULO/PAPILOMA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA/TRAQUEOSCOPIA PARA DIAGNOSTICO E BIOPSIA (TUBO RIGIDO OU FLEXIVEL),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
LARINGOSCOPIA/TRAQUEOSCOPIA PARA INTUBACAO ORO OU NASOTRAQUEAL,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"LIGADURA ELASTICA DO ESOFAGO, ESTOMAGO OU DUODENO",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
MUCOSECTOMIA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
NASOFIBROLARINGOSCOPIA PARA DIAGNOSTICO E/OU BIOPSIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PAPILOTOMIA E DILATACAO BILIAR OU PANCREATICA COM OU SEM COLOCACAO DE PROTESE OU DRENO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PAPILOTOMIA ENDOSCOPICA (PARA RETIRADA DE CALCULOS COLEDOCIANOS OU DRENAGEM BILIAR),,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
PASSAGEM DE SONDA NASO-ENTERAL,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
POLIPECTOMIA DE COLON,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"POLIPECTOMIA DO ESOFAGO, ESTOMAGO E DUODENO",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETIRADA DE TUMOR OU PAPILOMA OU POLIPO POR BRONCOSCOPIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETIRADA ENDOSCOPICA DE CORPO ESTRANHO QUALQUER LOCALIZACAO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETOSSIGMOIDOSCOPIA RIGIDA OU FLEXIVEL COM OU SEM BIOPSIA E/OU CITOLOGIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
RETOSSIGMOIDOSCOPIA RIGIDA OU FLEXIVEL COM OU SEM POLIPECTOMIA E/OU MUCOSECTOMIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TAMPONAMENTO DE VARIZES DO ESOFAGO E ESTOMAGO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TESTE DA UREASE PARA HELICOBACTER PYLORI (TESTE DE HEALD),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
TRATAMENTO ENDOSCOPICO DE HEMOPTISE,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
URETEROSCOPIA FLEXIVEL OU RIGIDO,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
URETROTOMIA ENDOSCOPICA,,,,,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-ENDOSCOPIA DO ESFINCTER VELO-PALATINO COM OTICA FLEXIVEL OU RIGIDA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-ENDOSCOPIA NASO-SINUSAL COM OTICA FLEXIVEL OU RIGIDA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-FARINGO-LARINGOSCOPIA COM ENDOSCOPIO FLEXIVEL OU RIGIDO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
VIDEO-LARINGO-ESTROBOSCOPIA COM ENDOSCOPIO FLEXIVEL OU RIGIDO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,ENDOSCOPIA DIAGNOSTICA OU INTERVENCIONISTA,ENDOSCOPICOS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"3-METIL HISTIDINA, DOSAGEM NO SORO",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
5-NUCLEOTIDASE,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"ACETILCOLINESTERASE, EM ERITROCITOS",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO ASCORBICO (VITAMINA C),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO CITRICO (CITRATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO FOLICO (FOLATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO LACTICO (LACTATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO OROTICO (OROTATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO OXALICO (OXALATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO PIRUVICO (PIRUVATO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO SIALICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO URICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDO VALPROICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDOS GRAXOS LIVRES,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ACIDOS ORGANICOS (PERFIL QUANTITATIVO),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"ACILCARNITINAS, PERFIL QUALITATIVO E/OU QUANTITATIVO COM ESPECTROMETRIA DE MASSA EM TANDEM (COM DIRETRIZ DE UTILIZACAO)",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,PAC,2.0,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALBUMINA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALDOLASE,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"ALFA-1-ANTITRIPSINA, DOSAGEM NO SORO",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALFA-1-GLICOPROTEINA ACIDA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALFA-2-MACROGLOBULINA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALFA-FETOPROTEINA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
ALUMINIO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMILASE,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMILASE TOTAL E PANCREATICA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMILOIDOSE - TTR,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
"AMINOACIDOS, FRACIONAMENTO E QUANTIFICACAO",,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMONIA,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
AMP - CICLICO NEFROGENICO (SANGUE E URINA),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
APOLIPOPROTEINA A (APO A),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
APOLIPOPROTEINA B (APO B),,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BETA-GLICURONIDASE,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BICARBONATO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
BILIRRUBINAS,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CALCIO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CALCIO IONICO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CAPACIDADE DE FIXACAO DE FERRO,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
CARNITINA LIVRE - PESQUISA E/OU DOSAGEM,,,,Seg. AmbulatorialHCO: Seg. Hospitalar Com Obstetrícia,HCO,Seg. Hospitalar Sem Obstetrícia,Plano ReferênciaPAC: Procedimento de Alta Complexidade,,,"BIOQUIMICA (SANGUE, URINA E OUTROS MATERIAIS)",PROCEDIMENTOS LABORATORIAIS,PROCEDIMENTOS DIAGNOSTICOS E TERAPEUTICOS
